content,score,at,sentiment,processed_content,review_length
"kenapa ya harga produk di toko ijo sama di toko oren berbeda lebih murah di toko oren, Oke sih ongkirnya sudah mulai free ongkir toko ijo ikut-ikut sama toko oren tingkatkan lagi dong harga produknya yang belum bisa mengimbangi toko orange,,",1,2025-03-24 21:47:23,negative,ya harga produk toko ijo toko oren berbeda murah toko oren oke sih ongkirnya free ongkir toko ijo ikutikut toko oren tingkatkan harga produknya mengimbangi toko orang,241
simple order,5,2025-03-24 21:46:33,positive,simpl order,12
toko pedia emang oke bisa membuat belanja online nyaman dan amanah,5,2025-03-24 21:35:13,positive,toko pedia emang oke belanja onlin nyaman amanah,66
Bagus,3,2025-03-24 21:33:16,neutral,bagu,5
semoga sampai tepat dan barang bagus dan sesuai harapan,5,2025-03-24 21:18:09,positive,semoga barang bagu sesuai harapan,55
"Kenapa saya gak bisa cekout,",2,2025-03-24 21:02:18,negative,gak cekout,28
"Untuk Sekarang Tokped Lagi Aneh sih , jarang Dapet Voucher, sekalinya dapet Voucher pas di checkout Malah di Cancel sistem",3,2025-03-24 20:52:52,neutral,tokp aneh sih jarang dapet voucher sekalinya dapet voucher pa checkout cancel sistem,122
udh sangat baik-baik salam dari cp alya,5,2025-03-24 20:37:49,positive,udh baikbaik salam cp alya,39
"Tokopedia memang parah sih untuk pembeli karena banyak banget seller penipu, baru beli meja dari bekasi. malah di kirim dari bogor dia cuma ngirim resi",1,2025-03-24 20:24:59,negative,tokopedia parah sih pemb banget seller penipu beli meja bekasi kirim bogor ngirim resi,151
"gw udah brapa kali belanja brg di tokped dan ujung ny brg retur ke saler, padahal sya perlu banget barang itu ujung ny estimasi dtg 1 minggu malah sebulan, saya sdh komlain tolong kembalikan aja uang nya biar sya bisa belanja lagi di saler lain tetap aja ga bisa, kecewa banget sih sma tokped masa hal ini ga bisa di perbaiki, klo ada kendala terkait standar saler dgn expedisi ujung nya jangan buyer yang di korbankan harus menunggu penyelesaian nya dan brg pun lambat sya dapatkan. !!!!!!!!!!!!!!!!",1,2025-03-24 20:06:45,negative,gw udah brapa kali belanja brg tokp ujung ny brg retur saler sya banget barang ujung ny estimasi dtg minggu sebulan sdh komlain tolong kembalikan aja uang nya biar sya belanja saler aja ga kecewa banget sih sma tokp ga perbaiki klo kendala terkait standar saler dgn expedisi ujung nya buyer korbankan menunggu penyelesaian nya brg lambat sya dapatkan,500
aku dana saya transaksi sendiri ke Tokopedia mohon bantuan,5,2025-03-24 19:58:06,positive,dana transaksi tokopedia mohon bantuan,58
"mantaaaap,transaksi jd muda bgt..Sekalian lagi mantaaap/goooodd👍👍👍",5,2025-03-24 19:52:23,positive,mantaaaaptransaksi jd muda bgtsekalian mantaaapgoooodd👍👍👍,66
Tidak ada solusi dari tokopedia atas barang yg terlambat dikirim (melewati waktu perkiraan barang tib).,2,2025-03-24 19:48:54,negative,solusi tokopedia barang yg terlambat dikirim melewati perkiraan barang tib,103
"belanja apapun ada semua dan jadi lebih mudah dengan bamyak pilihan, sukses tokopedia",5,2025-03-24 19:33:37,positive,belanja apapun mudah bamyak pilihan suks tokopedia,85
"Tokopedia sekarang pelayanan semakin buruk. Saya komplain pesan dan ditolak serta difitnah dan ditipu oleh penjual hingga ke fase mediasi. Sudah saya kirim bukti fitnah dan penipuan penjual. Tetapi malah respon CS sangat tidak niat. Awalnya sehari baru dibalas sama CSnya, kedua masih sama aja, kemudian setelah sampai pada putusan bahwa jika penjual tidakmengirimkan bukti packing dalam 1 hari barang akan direturn, setelah 5 hari penjual tidak merespon diikuti CS yang tidak memberi respon apapun",1,2025-03-24 19:15:20,negative,tokopedia pelayanan buruk komplain pesan ditolak difitnah ditipu penjual fase mediasi kirim bukti fitnah penipuan penjual respon cs niat sehari dibala csnya aja putusan penjual tidakmengirimkan bukti pack barang direturn penjual merespon diikuti cs respon apapun,498
Pesan pake kurir instan/sameday.. posisi toko gak kirim2 barang lebih dari 24jam.. mau ajukan batal harus disetujui toko.. chat toko diread doang.. HARUS KAH MENERIMA PEMBATALAN OTOMATIS 3X24 JAM DARI WAKTU CHECKOUT PEMBELIAN.. PESANAN PAKE KURIR INSTAN/SAMEDAY ITU BIASANYA BUTUH URGENT.. KALO GAK URGENT SAYA PAKAI GRATIS ONGKIR!!!! tolong perbaiki masalah kaya gini.. pesan tgl 23. sampai 24 malam gak dikirim2.. pembeli harus pasrah sampai batal otomatis tgl 26.. PAYAH..........................,1,2025-03-24 19:03:48,negative,pesan pake kurir instansameday posisi toko gak kirim barang jam ajukan batal disetujui toko chat toko diread doang kah menerima pembatalan otomati x jam checkout pembelian pesanan pake kurir instansameday butuh urgent kalo gak urgent pakai grati ongkir tolong perbaiki kaya gini pesan tgl malam gak dikirim pemb pasrah batal otomati tgl payah,499
kenapa sih padahal sinyal bagus eror mulu,3,2025-03-24 18:59:42,neutral,sih sinyal bagu eror mulu,41
"respon kurir tidak ada, padahal paket saya tidak ada pergerakan dari awal puasa (sebelum overload seperti sekarang). saya harus komplain ke mana ya agar diproses?",1,2025-03-24 18:59:21,negative,respon kurir paket pergerakan puasa overload komplain ya dipros,162
terpercaya,5,2025-03-24 18:52:46,positive,terpercaya,10
aplikasi sering eror gak nyaman,3,2025-03-24 18:51:15,neutral,aplikasi eror gak nyaman,31
"mudah murah meriah mantullll,....",5,2025-03-24 18:40:22,positive,mudah murah meriah mantulll,33
tolong perbaiki pembayaran menggunakan akun virtual tidak bisa! sudah 1 minggu ini!!!,2,2025-03-24 18:34:00,negative,tolong perbaiki pembayaran akun virtual minggu,85
"Setelah update n tdk da opsi trf manual jdikn tokped hanya tuk orang kota yg signyal stabil, kami di daerah plosok gk bs pakai mobile banking, klo review bintang 2 gk bs mengulas toko n produk, entah bintang 3",3,2025-03-24 18:19:31,neutral,updat n tdk da opsi trf manual jdikn tokp tuk orang kota yg signyal stabil daerah plosok gk bs pakai mobil bank klo review bintang gk bs mengula toko n produk bintang,209
mntap,3,2025-03-24 18:08:30,neutral,mntap,5
"Aneh pakai promo pakai promo tapi susah tetep di arahkan tanpa pakai promo,ujung2nya kagak free ongkir boro2 promo,hadeeeh ribet gak usahlah pakai promo2 kalo memang susahmh,contohlah yg orange...simpel gak ribet.",2,2025-03-24 17:55:30,negative,aneh pakai promo pakai promo susah tetep arahkan pakai promoujungnya kagak free ongkir boro promohadeeeh ribet gak usahlah pakai promo kalo susahmhcontohlah yg orangesimpel gak ribet,213
pengiriman mantap,5,2025-03-24 17:53:57,positive,pengiriman mantap,17
"saya kesulitan untuk mengirim pengembalian barang karena pihak jasa ekspedisi minta nomor resi pengiriman sementara dari penjual tidak tahu,dan saya kasih nomor resi yang terlampir di aplikasi setelah dicek oleh ekspedisi katanya sudah terkirim sangat membingungkan",3,2025-03-24 17:37:54,neutral,kesulitan mengirim pengembalian barang jasa ekspedisi nomor resi pengiriman penjual tahudan kasih nomor resi terlampir aplikasi dicek ekspedisi terkirim membingungkan,265
tempat dimana adanya aktifitas bisnis terlengkap dan selalu dibutuhkan mayoritas oleh orang intelek sukses selalu tokopedia,5,2025-03-24 17:37:39,positive,dimana aktifita bisni terlengkap dibutuhkan mayorita orang intelek suks tokopedia,123
"download fitur gagal mulu, gimana nih?",4,2025-03-24 17:34:37,positive,download fitur gagal mulu gimana nih,38
"ini kenapa tiap bulan selalu disuruh update ? tolong jangan gini, ini sangat mengganggu",5,2025-03-24 17:32:18,positive,disuruh updat tolong gini mengganggu,87
Proses pembatalan pesanan lama dari seller dan seller tidak menanggapi serta berbicara kasar. tolong lebih selektif lagi dalam memilih seller. toko ini tolong di blacklist (Barkidjacket) dari Tokopedia Krn dari hari Minggu sampai sekarang pembatalan pesanan ku tidak di proses atau aku tidak hapus postingan bintang 1 ku di Tokopedia !,1,2025-03-24 17:23:14,negative,prose pembatalan pesanan seller seller menanggapi berbicara kasar tolong selektif memilih seller toko tolong blacklist barkidjacket tokopedia krn minggu pembatalan pesanan ku prose hapu postingan bintang ku tokopedia,335
Kenapa barang yg masih diproses jika ingin dibatalkan harus menunggu persetujuan seller itu sangat merugikan buyer jika tidak sesuai,1,2025-03-24 17:06:47,negative,barang yg dipros dibatalkan menunggu persetujuan seller merugikan buyer sesuai,132
"tokopedia anjghh.. tombol buat datangkan kurir di matikan, kita gak bisa klik...padhal barang yang datang gak sesuai... jangan belanja lagi di sini.. sumpah rugii ongkir mahal2 di buat ribet kembalikan nya",1,2025-03-24 17:03:33,negative,tokopedia anjghh tombol datangkan kurir matikan gak klikpadh barang gak sesuai belanja sumpah rugii ongkir mahal ribet kembalikan nya,205
