content,score,at,sentiment,processed_content
Pesan pake kurir instan/sameday.. posisi toko gak kirim2 barang lebih dari 24jam.. mau ajukan batal harus disetujui toko.. chat toko diread doang.. HARUS KAH MENERIMA PEMBATALAN OTOMATIS 3X24 JAM DARI WAKTU CHECKOUT PEMBELIAN.. PESANAN PAKE KURIR INSTAN/SAMEDAY ITU BIASANYA BUTUH URGENT.. KALO GAK URGENT SAYA PAKAI GRATIS ONGKIR!!!! tolong perbaiki masalah kaya gini.. pesan tgl 23. sampai 24 malam gak dikirim2.. pembeli harus pasrah sampai batal otomatis tgl 26.. PAYAH..........................,1,2025-03-24 19:03:48,negative,pesan pake kurir instansameday posisi toko gak kirim barang jam ajukan batal disetujui toko chat toko diread doang kah menerima pembatalan otomati x jam checkout pembelian pesanan pake kurir instansameday butuh urgent kalo gak urgent pakai grati ongkir tolong perbaiki kaya gini pesan tgl malam gak dikirim pemb pasrah batal otomati tgl payah
"respon kurir tidak ada, padahal paket saya tidak ada pergerakan dari awal puasa (sebelum overload seperti sekarang). saya harus komplain ke mana ya agar diproses?",1,2025-03-24 18:59:21,negative,respon kurir paket pergerakan puasa overload komplain ya dipros
terpercaya,5,2025-03-24 18:52:46,positive,terpercaya
"mudah murah meriah mantullll,....",5,2025-03-24 18:40:22,positive,mudah murah meriah mantulll
tolong perbaiki pembayaran menggunakan akun virtual tidak bisa! sudah 1 minggu ini!!!,2,2025-03-24 18:34:00,negative,tolong perbaiki pembayaran akun virtual minggu
"Aneh pakai promo pakai promo tapi susah tetep di arahkan tanpa pakai promo,ujung2nya kagak free ongkir boro2 promo,hadeeeh ribet gak usahlah pakai promo2 kalo memang susahmh,contohlah yg orange...simpel gak ribet.",2,2025-03-24 17:55:30,negative,aneh pakai promo pakai promo susah tetep arahkan pakai promoujungnya kagak free ongkir boro promohadeeeh ribet gak usahlah pakai promo kalo susahmhcontohlah yg orangesimpel gak ribet
pengiriman mantap,5,2025-03-24 17:53:57,positive,pengiriman mantap
tempat dimana adanya aktifitas bisnis terlengkap dan selalu dibutuhkan mayoritas oleh orang intelek sukses selalu tokopedia,5,2025-03-24 17:37:39,positive,dimana aktifita bisni terlengkap dibutuhkan mayorita orang intelek suks tokopedia
"download fitur gagal mulu, gimana nih?",4,2025-03-24 17:34:37,positive,download fitur gagal mulu gimana nih
"ini kenapa tiap bulan selalu disuruh update ? tolong jangan gini, ini sangat mengganggu",5,2025-03-24 17:32:18,positive,disuruh updat tolong gini mengganggu
Proses pembatalan pesanan lama dari seller dan seller tidak menanggapi serta berbicara kasar. tolong lebih selektif lagi dalam memilih seller. toko ini tolong di blacklist (Barkidjacket) dari Tokopedia Krn dari hari Minggu sampai sekarang pembatalan pesanan ku tidak di proses atau aku tidak hapus postingan bintang 1 ku di Tokopedia !,1,2025-03-24 17:23:14,negative,prose pembatalan pesanan seller seller menanggapi berbicara kasar tolong selektif memilih seller toko tolong blacklist barkidjacket tokopedia krn minggu pembatalan pesanan ku prose hapu postingan bintang ku tokopedia
Kenapa barang yg masih diproses jika ingin dibatalkan harus menunggu persetujuan seller itu sangat merugikan buyer jika tidak sesuai,1,2025-03-24 17:06:47,negative,barang yg dipros dibatalkan menunggu persetujuan seller merugikan buyer sesuai
"tokopedia anjghh.. tombol buat datangkan kurir di matikan, kita gak bisa klik...padhal barang yang datang gak sesuai... jangan belanja lagi di sini.. sumpah rugii ongkir mahal2 di buat ribet kembalikan nya",1,2025-03-24 17:03:33,negative,tokopedia anjghh tombol datangkan kurir matikan gak klikpadh barang gak sesuai belanja sumpah rugii ongkir mahal ribet kembalikan nya
"ini sudah telat 7 hari. kenapa masih investigasi menunggu 3 hari. sudah jelas di riwayat pengiriman itu. budayakan membaca agar tdk bodoh. cepat selesaikan. sekarang sudah 9 hari tanpa tanggapan sedikitpun dari admin. 24 maret 2025, sudah 11 hari pesanan sya masih belum bergerak kmn2. sedangkan pesanan baju yg sama 21 maret 2025 di aplikasi sebelah sudah sampai dg waktu kirim 3 hari. kembalikan saja uang sya. tdk usah bertele lele dg investigasi 7 hari. kelamaan jenggg",1,2025-03-24 16:40:00,negative,telat investigasi menunggu riwayat pengiriman budayakan membaca tdk bodoh cepat selesaikan tanggapan sedikitpun admin maret pesanan sya bergerak kmn pesanan baju yg maret aplikasi sebelah dg kirim kembalikan uang sya tdk bertel lele dg investigasi jenggg
"selagi toped bekerja sama dengan expedisi sampah seperti ninja express, saya gak akan kasih naik bintang nya.",1,2025-03-24 16:27:21,negative,selagi tope expedisi sampah ninja express gak kasih bintang nya
good,5,2025-03-24 16:14:10,positive,good
"tidak rekomend jangan download apk ini untuk belanja, karna sudah kerjasama dengan penipuan, saya beli barang malah tidak ada barangnya, saya komplain sudah upload vidio malah di suruh kirim bukti lagi, komplainnya di ribetkan, pengalaman belanja yang tidak amanah di aplikasi ini, semoga lebih hancur tokopedia ini,🙏",1,2025-03-24 16:07:58,negative,rekomend download apk belanja karna kerjasama penipuan beli barang barangnya komplain upload vidio suruh kirim bukti komplainnya ribetkan pengalaman belanja amanah aplikasi semoga hancur tokopedia ini🙏
"pesan barang dari tgl 7 maret sampai skrng belum samapai, info dari kurir dikembalikan kepenjual dengan alasan alamat tidak ditemukan, penjual malah claim ke asuransi dengan dalih barang hilang, dari tokpednya juga tidak ada kejelasan kocak ogah pakai aplikasi ke beginian lagi.",1,2025-03-24 15:44:08,negative,pesan barang tgl maret skrng samapai info kurir dikembalikan kepenju alasan alamat ditemukan penjual claim asuransi dalih barang hilang tokpednya kejelasan kocak ogah pakai aplikasi
mantul,5,2025-03-24 15:29:16,positive,mantul
belum pernah dan tidak punya pengalaman sama sekali,1,2025-03-24 15:12:52,negative,pengalaman
terbaik,5,2025-03-24 15:04:26,positive,terbaik
terbaik,5,2025-03-24 15:01:30,positive,terbaik
"Kak... tolong perbaiki kak kenapa mau kirim foto barang langsung error. Bukan cuma itu kak, saya coba kirim foto barang ulasan di laptop aja dak bisa apalagi di HP. Tolong kak",1,2025-03-24 14:43:10,negative,kak tolong perbaiki kak kirim foto barang langsung error kak coba kirim foto barang ulasan laptop aja dak hp tolong kak
top,5,2025-03-24 14:24:41,positive,top
mantap,5,2025-03-24 14:23:18,positive,mantap
短くしてください（良い）,5,2025-03-24 14:13:01,positive,短くしてください（良い）
tolong pilihan pembayaran cod ada di pilihan pembayaran,5,2025-03-24 14:01:01,positive,tolong pilihan pembayaran cod pilihan pembayaran
bisa pake dana dan praktisi,5,2025-03-24 13:55:26,positive,pake dana praktisi
"pelit promo,, lebih baik pakek shopee",1,2025-03-24 13:54:48,negative,pelit promo pakek shope
